"date","state","fips","cases","deaths"
"2020-03-13","Alabama",1,6,0
"2020-03-14","Alabama",1,6,0
"2020-03-15","Alabama",1,11,0
"2020-03-16","Alabama",1,6,0
"2020-03-17","Alabama",1,10,0
"2020-03-18","Alabama",1,12,0
"2020-03-19","Alabama",1,27,0
"2020-03-20","Alabama",1,28,0
"2020-03-21","Alabama",1,25,0
"2020-03-22","Alabama",1,26,0
"2020-03-23","Alabama",1,39,0
"2020-03-24","Alabama",1,46,0
"2020-03-25","Alabama",1,144,1
"2020-03-26","Alabama",1,152,2
"2020-03-27","Alabama",1,101,1
"2020-03-28","Alabama",1,81,0
"2020-03-29","Alabama",1,110,1
"2020-03-30","Alabama",1,117,6
"2020-03-31","Alabama",1,52,3
"2020-04-01","Alabama",1,109,14
"2020-04-02","Alabama",1,162,4
"2020-04-03","Alabama",1,265,6
"2020-04-04","Alabama",1,97,6
"2020-04-05","Alabama",1,208,1
"2020-04-06","Alabama",1,165,8
"2020-04-07","Alabama",1,192,11
"2020-04-08","Alabama",1,301,3
"2020-04-09","Alabama",1,340,11
"2020-04-10","Alabama",1,170,2
"2020-04-11","Alabama",1,254,13
"2020-04-12","Alabama",1,321,0
"2020-04-13","Alabama",1,222,11
"2020-04-14","Alabama",1,148,10
"2020-04-15","Alabama",1,288,9
"2020-04-16","Alabama",1,163,14
"2020-04-17","Alabama",1,168,14
"2020-04-18","Alabama",1,151,-4
"2020-04-19","Alabama",1,180,13
"2020-04-20","Alabama",1,175,4
"2020-04-21","Alabama",1,249,22
"2020-04-22","Alabama",1,283,15
"2020-04-23","Alabama",1,222,-4
"2020-04-24","Alabama",1,194,12
"2020-04-25","Alabama",1,187,4
"2020-04-26","Alabama",1,208,6
"2020-04-27","Alabama",1,118,9
"2020-04-28","Alabama",1,211,14
"2020-04-29","Alabama",1,175,20
"2020-04-30","Alabama",1,143,10
"2020-05-01","Alabama",1,226,17
"2020-05-02","Alabama",1,317,-1
"2020-05-03","Alabama",1,277,2
"2020-05-04","Alabama",1,224,8
"2020-05-05","Alabama",1,325,17
"2020-05-06","Alabama",1,254,28
"2020-05-07","Alabama",1,355,26
"2020-05-08","Alabama",1,339,14
"2020-05-09","Alabama",1,283,7
"2020-05-10","Alabama",1,221,3
"2020-05-11","Alabama",1,275,10
"2020-05-12","Alabama",1,300,32
"2020-05-13","Alabama",1,236,15
"2020-05-14","Alabama",1,401,23
"2020-05-15","Alabama",1,272,10
"2020-05-16","Alabama",1,301,2
"2020-05-17","Alabama",1,97,3
"2020-05-18","Alabama",1,315,1
"2020-05-19","Alabama",1,290,15
"2020-05-20","Alabama",1,676,18
"2020-05-21","Alabama",1,362,7
"2020-05-22","Alabama",1,256,12
"2020-05-23","Alabama",1,479,8
"2020-05-24","Alabama",1,329,2
"2020-05-25","Alabama",1,508,15
"2020-05-26","Alabama",1,664,14
"2020-05-27","Alabama",1,382,3
"2020-05-28","Alabama",1,498,8
"2020-05-29","Alabama",1,501,19
"2020-05-30","Alabama",1,328,8
"2020-05-31","Alabama",1,593,12
"2020-06-01","Alabama",1,582,16
"2020-06-02","Alabama",1,237,7
"2020-06-03","Alabama",1,80,0
"2020-06-04","Alabama",1,221,0
"2020-06-05","Alabama",1,315,23
"2020-06-06","Alabama",1,656,13
"2020-06-07","Alabama",1,457,3
"2020-06-08","Alabama",1,425,26
"2020-06-09","Alabama",1,497,11
"2020-06-10","Alabama",1,567,15
"2020-06-11","Alabama",1,856,11
"2020-06-12","Alabama",1,865,14
"2020-06-13","Alabama",1,891,4
"2020-06-14","Alabama",1,1014,0
"2020-06-15","Alabama",1,657,1
"2020-06-16","Alabama",1,640,11
"2020-06-17","Alabama",1,400,5
"2020-06-18","Alabama",1,894,20
"2020-06-19","Alabama",1,796,12
"2020-06-20","Alabama",1,547,16
"2020-06-21","Alabama",1,472,1
"2020-06-22","Alabama",1,433,2
"2020-06-23","Alabama",1,643,23
"2020-06-24","Alabama",1,967,27
"2020-06-25","Alabama",1,1142,5
"2020-06-26","Alabama",1,977,11
"2020-06-27","Alabama",1,900,12
"2020-06-28","Alabama",1,358,0
"2020-06-29","Alabama",1,1734,10
"2020-06-30","Alabama",1,870,21
"2020-07-01","Alabama",1,917,22
"2020-07-02","Alabama",1,1149,13
"2020-07-03","Alabama",1,1754,21
"2020-07-04","Alabama",1,997,1
"2020-07-05","Alabama",1,1091,0
"2020-07-06","Alabama",1,925,0
"2020-07-07","Alabama",1,907,26
"2020-07-08","Alabama",1,1177,25
"2020-07-09","Alabama",1,2212,10
"2020-07-10","Alabama",1,1334,36
"2020-07-11","Alabama",1,1439,10
"2020-07-12","Alabama",1,1640,7
"2020-07-13","Alabama",1,1958,3
"2020-07-14","Alabama",1,1710,40
"2020-07-15","Alabama",1,1812,47
"2020-07-16","Alabama",1,2021,19
"2020-07-17","Alabama",1,2003,35
"2020-07-18","Alabama",1,2143,21
"2020-07-19","Alabama",1,1777,1
"2020-07-20","Alabama",1,1880,4
"2020-07-21","Alabama",1,1467,12
"2020-07-22","Alabama",1,1455,61
"2020-07-23","Alabama",1,2399,33
"2020-07-24","Alabama",1,1793,41
"2020-07-25","Alabama",1,2125,18
"2020-07-26","Alabama",1,1164,17
"2020-07-27","Alabama",1,1821,18
"2020-07-28","Alabama",1,1251,0
"2020-07-29","Alabama",1,1416,47
"2020-07-30","Alabama",1,1980,27
"2020-07-31","Alabama",1,1961,15
"2020-08-01","Alabama",1,1626,23
"2020-08-02","Alabama",1,2095,24
"2020-08-03","Alabama",1,1217,6
"2020-08-04","Alabama",1,1041,33
"2020-08-05","Alabama",1,952,29
"2020-08-06","Alabama",1,1938,19
"2020-08-07","Alabama",1,1709,21
"2020-08-08","Alabama",1,1872,20
"2020-08-09","Alabama",1,1161,13
"2020-08-10","Alabama",1,1686,29
"2020-08-11","Alabama",1,831,50
"2020-08-12","Alabama",1,935,35
